date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
10/29/2021,ARKG,"PFIZER INC",PFE,717081103,"2,221,104","$95,907,270.72",1.30%
10/29/2021,ARKG,"QUANTUM-SI INC",QSI,74765K105,"11,750,692","$94,358,056.76",1.28%
10/29/2021,ARKG,"SOMALOGIC INC",SLGC,83444K105,"7,502,599","$93,782,487.50",1.27%
10/29/2021,ARKG,"BERKELEY LIGHTS INC",BLI,084310101,"3,884,326","$93,068,450.96",1.26%
10/29/2021,ARKG,"908 DEVICES INC",MASS,65443P102,"2,790,345","$90,769,922.85",1.23%
10/29/2021,ARKG,"REPARE THERAPEUTICS INC",RPTX,760273102,"3,471,256","$86,399,561.84",1.17%
10/29/2021,ARKG,"1LIFE HEALTHCARE INC",ONEM,68269G107,"3,595,176","$79,669,100.16",1.08%
10/29/2021,ARKG,"BUTTERFLY NETWORK INC",BFLY,124155102,"7,204,242","$73,627,353.24",1.00%
10/29/2021,ARKG,"VERVE THERAPEUTICS INC",VERV,92539P101,"1,361,587","$65,451,487.09",0.89%
10/29/2021,ARKG,"RECURSION PHARMACEUTICALS-A",RXRX,75629V104,"2,598,765","$50,312,090.40",0.68%
10/29/2021,ARKG,"EDITAS MEDICINE INC",EDIT,28106W103,"1,167,783","$44,550,921.45",0.60%
10/29/2021,ARKG,"PALANTIR TECHNOLOGIES INC-A",PLTR,69608A108,"1,632,412","$41,855,043.68",0.57%
10/29/2021,ARKG,"SURFACE ONCOLOGY INC",SURF,86877M209,"5,458,765","$40,667,799.25",0.55%
10/29/2021,ARKG,"CELLECTIS - ADR",CLLS,15117K103,"3,581,513","$39,325,012.74",0.53%
10/29/2021,ARKG,"ZYMERGEN INC",ZY,98985X100,"3,787,808","$39,393,203.20",0.53%
10/29/2021,ARKG,"CERUS CORP",CERS,157085101,"5,298,046","$34,649,220.84",0.47%
10/29/2021,ARKG,"DREYFUS GOVT CASH MAN INS",,X9USDDGCM,"29,605,933","$29,605,932.63",0.40%
10/29/2021,ARKG,"AQUABOUNTY TECHNOLOGIES",AQB,03842K200,"6,242,333","$24,906,908.67",0.34%
10/29/2021,ARKG,"DYNAMICS SPECIAL PURPOSE C-A",DYNS,268010105,"2,392,991","$24,121,349.28",0.33%
10/29/2021,ARKG,"COMPUGEN LTD",CGEN,M25722105,"3,632,675","$23,576,060.75",0.32%
10/29/2021,ARKG,"NANOSTRING TECHNOLOGIES INC",NSTG,63009R109,"412,647","$20,364,129.45",0.28%
10/29/2021,ARKG,"EVOGENE LTD",EVGN,M4119S104,"2,948,043","$7,723,872.66",0.10%
10/29/2021,ARKG,"ORGANOVO HOLDINGS INC","ONVO ",68620A203,"244,859","$1,503,434.26",0.02%
10/29/2021,ARKG,"CM LIFE SCIENCES II -CW27",SLGCW,83444K113,"548,744",$0.00,0.00%
"The principal risks of investing in ARK ETFs include equity, market, management and non-diversification risks, as well as fluctuations in market value and net asset value ('NAV'). Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ETF before investing. This and other information are contained in each ETF's prospectus, which may be obtained by contacting the ETF's transfer agent The Bank of New York Mellon or by clicking here. Please read the prospectus carefully before you invest. The market price of ETF shares may differ significantly from their NAV during periods of market volatility. ETF shares may only be redeemed directly with the ETF at NAV by Authorized Participants, in very large creation units. Holdings are subject to change without notice and are not a recommendation to buy or sell any security. There can be no guarantee that an active trading market for ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Copyright 2021, ARK Investment Management LLC. All content is original and has been researched and produced by ARK Investment Management LLC unless otherwise stated. No part of this content may be reproduced in any form, or referred to in any other publication, without the express written permission of ARK Investment Management LLC. All statements made regarding companies, securities or other financial information on this site or any sites or articles relating to ARK Investment Management LLC are strictly beliefs and points of view held by ARK Investment Management and are subject to change without notice. Information contained herein has been obtained from sources believed to be reliable, but not guaranteed. This material has been distributed for informational purposes only and should not be considered as investment advice or a recommendation of any particular security, strategy or investment product."
